year,NASDAQ_beginning_price,NASDAQ_ending_price,NASDAQ_gain_or_loss,NASDAQ_percent_gain_or_loss
1975,59.82,77.62,17.8,29.76
1976,77.62,97.88,20.26,26.1
1977,97.88,105.05,7.17,7.33
1978,105.05,117.98,12.93,12.31
1979,117.98,151.14,33.16,28.11
1980,151.14,202.34,51.2,33.88
1981,202.34,195.84,-6.5,-3.21
1982,195.84,232.41,36.57,18.67
1983,232.41,278.6,46.19,19.87
1984,278.6,247.35,-31.25,-11.22
1985,247.35,324.93,77.58,31.36
1986,324.93,348.83,23.9,7.36
1987,348.83,330.47,-18.36,-5.26
1988,330.47,381.38,50.91,15.41
1989,381.38,454.82,73.44,19.26
1990,454.82,373.84,-80.98,-17.8
1991,373.84,586.34,212.5,56.84
1992,586.34,676.95,90.61,15.45
1993,676.95,776.8,99.85,14.75
1994,776.8,751.96,-24.84,-3.2
1995,751.96,1052.13,300.17,39.92
1996,1052.13,1291.03,238.9,22.71
1997,1291.03,1570.35,279.32,21.64
1998,1570.35,2192.69,622.34,39.63
1999,2192.69,4069.31,1876.62,85.59
2e3,4069.31,2470.52,-1598.79,-39.29
2001,2470.52,1950.4,-520.12,-21.05
2002,1950.4,1335.51,-614.89,-31.53
2003,1335.51,2003.37,667.86,50.01
2004,2003.37,2175.44,172.07,8.59
2005,2175.44,2205.32,29.88,1.37
2006,2205.32,2415.29,209.97,9.52
2007,2415.29,2652.28,236.99,9.81
2008,2652.28,1577.03,-1075.25,-40.54
2009,1577.03,2269.15,692.12,43.89
2010,2269.15,2652.87,383.72,16.91
2011,2652.87,2605.15,-47.72,-1.8
2012,2605.15,3019.51,414.36,15.91
2013,3019.51,4176.59,1157.08,38.32
2014,4176.59,4736.05,559.46,13.4
2015,4736.05,5007.41,271.36,5.73
2016,5007.41,5383.12,375.71,7.5
2017,5383.12,6903.39,1520.27,28.24
