year,Dow_Jones_beginning_price,Dow_Jones_ending_price,Dow_Jones_gain_or_loss,Dow_Jones_percent_gain_or_loss
1975,616.24,852.41,236.17,38.32
1976,852.41,1004.65,152.24,17.86
1977,1004.65,831.17,-173.48,-17.27
1978,831.17,805.01,-26.16,-3.15
1979,805.01,838.74,33.73,4.19
1980,838.74,963.98,125.24,14.93
1981,963.98,875,-88.98,-9.23
1982,875,1046.55,171.55,19.61
1983,1046.55,1258.64,212.09,20.27
1984,1258.64,1211.57,-47.07,-3.74
1985,1211.57,1546.67,335.1,27.66
1986,1546.67,1895.95,349.28,22.58
1987,1895.95,1938.83,42.88,2.26
1988,1938.83,2168.57,229.74,11.85
1989,2168.57,2753.2,584.63,26.96
1990,2753.2,2633.66,-119.54,-4.34
1991,2633.66,3168.83,535.17,20.32
1992,3168.83,3301.11,132.28,4.17
1993,3301.11,3754.09,452.98,13.72
1994,3754.09,3834.44,80.35,2.14
1995,3834.44,5117.12,1282.68,33.45
1996,5117.12,6448.27,1331.15,26.01
1997,6448.27,7908.25,1459.98,22.64
1998,7908.25,9181.43,1273.18,16.1
1999,9181.43,11497.12,2315.69,25.22
2e3,11497.12,10786.85,-710.27,-6.18
2001,10786.85,10021.5,-765.35,-7.1
2002,10021.5,8341.63,-1679.87,-16.76
2003,8341.63,10453.92,2112.29,25.32
2004,10453.92,10783.01,329.09,3.15
2005,10783.01,10717.5,-65.51,-0.61
2006,10717.5,12463.15,1745.65,16.29
2007,12463.15,13264.82,801.67,6.43
2008,13264.82,8776.39,-4488.43,-33.84
2009,8776.39,10428.05,1651.66,18.82
2010,10428.05,11577.51,1149.46,11.02
2011,11577.51,12217.56,640.05,5.53
2012,12217.56,13104.14,886.58,7.26
2013,13104.14,16576.66,3472.52,26.5
2014,16576.66,17823.07,1246.41,7.52
2015,17823.07,17425.03,-398.04,-2.23
2016,17425.03,19762.6,2337.57,13.42
2017,19762.6,24719.22,4956.62,25.08
